bh_id,enum_id,strokes_water_1,strokes_water_2,strokes_water_3,pump_strokes_1,pump_strokes_2,pump_strokes_3,pump_time_1,pump_time_2,pump_time_3,pump_cap_1,pump_cap_2,pump_cap_3,leak_rate_10_1,leak_rate_10_2,leak_rate_10_3,flow_rate_1,flow_rate_2,flow_rate_3,conductivity,turbidity,starttime
117,e4,4,4,4,59,46,43,61,62,55,338.9830508,434.7826087,465.1162791,135.5932203,173.9130435,186.0465116,1.180327869,1.161290323,1.309090909,278,3.49000001,2019-12-05 01:44:02 UTC
117,e3,4,3,4,53,50,48,43,44,41,377.3584906,400,416.6666667,150.9433962,120,166.6666667,1.674418605,1.636363636,1.756097561,281,9.479999542,2019-12-05 05:09:48 UTC
118,e1,0,0,0,68,68,71,71,67,68,294.1176471,294.1176471,281.6901408,0,0,0,1.014084507,1.074626866,1.058823529,262,6.199999809,2019-12-06 03:25:31 UTC
118,e2,0,0,0,67,67,67,68,66,66,298.5074627,298.5074627,298.5074627,0,0,0,1.058823529,1.090909091,1.090909091,257,8.069999695,2019-12-06 02:13:46 UTC
118,e4,0,0,0,56,64,62,84,73,72,357.1428571,312.5,322.5806452,0,0,0,0.857142857,0.98630137,1,270,5.159999847,2019-12-06 01:57:15 UTC
118,e3,0,0,0,66,66,63,60,58,56,303.030303,303.030303,317.4603175,0,0,0,1.2,1.24137931,1.285714286,264,4.599999905,2019-12-06 03:06:34 UTC
119,e2,0,0,0,66,71,71,71,72,68,303.030303,281.6901408,281.6901408,0,0,0,1.014084507,1,1.058823529,290,153.5,2019-12-09 01:51:42 UTC
119,e4,0,0,0,67,70,72,84,83,88,298.5074627,285.7142857,277.7777778,0,0,0,0.857142857,0.86746988,0.818181818,290,55.88999939,2019-12-09 01:44:20 UTC
119,e3,0,0,0,75,93,97,107,117,111,266.6666667,215.0537634,206.185567,0,0,0,0.672897196,0.615384615,0.648648649,289,299.1000061,2019-12-09 03:56:58 UTC
120,e2,0,0,0,59,60,64,55,55,56,338.9830508,333.3333333,312.5,0,0,0,1.309090909,1.309090909,1.285714286,209,0.589999974,2019-12-10 00:47:08 UTC
120,e4,0,0,0,50,49,48,73,62,68,400,408.1632653,416.6666667,0,0,0,0.98630137,1.161290323,1.058823529,210,0.699999988,2019-12-09 23:44:12 UTC
120,e3,0,0,0,60,58,60,60,59,58,333.3333333,344.8275862,333.3333333,0,0,0,1.2,1.220338983,1.24137931,212,0.460000008,2019-12-10 00:43:19 UTC
121,e2,2,2,2,62,67,60,65,66,64,322.5806452,298.5074627,333.3333333,64.51612903,59.70149254,66.66666667,1.107692308,1.090909091,1.125,650,8.489999771,2019-12-11 02:33:38 UTC
121,e4,2,1,1,53,58,53,72,71,66,377.3584906,344.8275862,377.3584906,75.47169811,34.48275862,37.73584906,1,1.014084507,1.090909091,631,4.46999979,2019-12-11 01:25:25 UTC
121,e3,1,1,1,63,59,60,64,56,54,317.4603175,338.9830508,333.3333333,31.74603175,33.89830508,33.33333333,1.125,1.285714286,1.333333333,623,9.75,2019-12-11 03:01:42 UTC
122,e2,8,8,8,63,62,63,62,62,60,317.4603175,322.5806452,317.4603175,253.968254,258.0645161,253.968254,1.161290323,1.161290323,1.2,304,5.340000153,2019-12-12 01:18:35 UTC
122,e4,9,8,7,58,54,52,71,75,71,344.8275862,370.3703704,384.6153846,310.3448276,296.2962963,269.2307692,1.014084507,0.96,1.014084507,295,3.140000105,2019-12-12 01:46:04 UTC
122,e3,8,8,8,60,55,55,53,48,46,333.3333333,363.6363636,363.6363636,266.6666667,290.9090909,290.9090909,1.358490566,1.5,1.565217391,289,8.899999619,2019-12-12 02:54:05 UTC
123,e2,0,0,0,42,43,43,40,40,39,476.1904762,465.1162791,465.1162791,0,0,0,1.8,1.8,1.846153846,353,4.260000229,2019-12-13 02:39:05 UTC
123,e4,0,0,0,37,37,36,48,44,48,540.5405405,540.5405405,555.5555556,0,0,0,1.5,1.636363636,1.5,359,5.210000038,2019-12-12 23:43:42 UTC
123,e3,0,0,0,42,42,41,40,40,41,476.1904762,476.1904762,487.804878,0,0,0,1.8,1.8,1.756097561,350,26.79000092,2019-12-13 02:37:35 UTC
124,e1,0,0,0,90,90,91,85,85,83,222.2222222,222.2222222,219.7802198,0,0,0,0.847058824,0.847058824,0.86746988,928,2.720000029,2019-12-16 02:32:38 UTC
124,e2,0,0,0,94,91,92,95,85,84,212.7659574,219.7802198,217.3913043,0,0,0,0.757894737,0.847058824,0.857142857,923,3.930000067,2019-12-16 02:58:30 UTC
124,e4,0,0,0,72,73,70,87,90,86,277.7777778,273.9726027,285.7142857,0,0,0,0.827586207,0.8,0.837209302,909,9.539999962,2019-12-16 03:37:04 UTC
124,e3,0,0,0,81,78,79,59,56,57,246.9135802,256.4102564,253.164557,0,0,0,1.220338983,1.285714286,1.263157895,915,4.349999905,2019-12-16 03:56:13 UTC
125,e1,0,0,0,76,72,73,73,65,63,263.1578947,277.7777778,273.9726027,0,0,0,0.98630137,1.107692308,1.142857143,163.6999969,1.200000048,2019-12-17 01:11:38 UTC
125,e2,0,0,0,75,75,74,76,70,67,266.6666667,266.6666667,270.2702703,0,0,0,0.947368421,1.028571429,1.074626866,161.1999969,3.150000095,2019-12-17 02:56:16 UTC
125,e4,0,0,0,54,51,53,72,80,74,370.3703704,392.1568627,377.3584906,0,0,0,1,0.9,0.972972973,159.6999969,1.610000014,2019-12-17 01:18:16 UTC
125,e3,0,0,0,63,61,61,56,47,48,317.4603175,327.8688525,327.8688525,0,0,0,1.285714286,1.531914894,1.5,159.8999939,1.620000005,2019-12-17 01:42:17 UTC
126,e2,11,6,0,91,68,66,73,62,60,219.7802198,294.1176471,303.030303,241.7582418,176.4705882,0,0.98630137,1.161290323,1.2,322,0.579999983,2019-12-18 04:36:56 UTC
126,e4,5,5,4,50,50,46,55,54,54,400,400,434.7826087,200,200,173.9130435,1.309090909,1.333333333,1.333333333,324,0.779999971,2019-12-18 03:44:57 UTC
126,e3,5,5,4,66,67,71,51,50,54,303.030303,298.5074627,281.6901408,151.5151515,149.2537313,112.6760563,1.411764706,1.44,1.333333333,332,0.620000005,2019-12-18 04:49:47 UTC
127,e1,0,0,0,60,61,62,55,54,54,333.3333333,327.8688525,322.5806452,0,0,0,1.309090909,1.333333333,1.333333333,212,1.299999952,2019-12-19 01:42:45 UTC
127,e2,0,0,0,60,60,60,56,57,56,333.3333333,333.3333333,333.3333333,0,0,0,1.285714286,1.263157895,1.285714286,216,2.069999933,2019-12-19 02:48:05 UTC
127,e4,0,0,0,51,61,49,66,70,65,392.1568627,327.8688525,408.1632653,0,0,0,1.090909091,1.028571429,1.107692308,212,10.56999969,2019-12-19 03:06:53 UTC
127,e3,0,0,0,60,55,60,51,47,49,333.3333333,363.6363636,333.3333333,0,0,0,1.411764706,1.531914894,1.469387755,216,2.00999999,2019-12-19 04:18:21 UTC
128,e1,0,0,0,70,69,71,55,53,52,285.7142857,289.8550725,281.6901408,0,0,0,1.309090909,1.358490566,1.384615385,241,0.959999979,2019-12-20 03:08:08 UTC
128,e2,0,0,0,68,63,68,61,55,54,294.1176471,317.4603175,294.1176471,0,0,0,1.180327869,1.309090909,1.333333333,217,0.610000014,2019-12-20 03:43:21 UTC
128,e4,0,0,0,48,47,48,62,61,62,416.6666667,425.5319149,416.6666667,0,0,0,1.161290323,1.180327869,1.161290323,210,1.090000033,2019-12-20 02:45:08 UTC
128,e3,0,0,0,63,66,68,52,56,56,317.4603175,303.030303,294.1176471,0,0,0,1.384615385,1.285714286,1.285714286,222,0.620000005,2019-12-20 02:09:12 UTC
