bh_id,measure_num,strokes_water,pump_strokes,pump_time,pump_cap,leak_rate_10,flow_rate,conductivity,turbidity,starttime
217,5,0,62,66,322.5806452,0,1.090909091,490,13.39999962,2020-11-24 04:16:28 UTC
218,1,25,72,70,277.7777778,694.4444444,1.028571429,171.6999969,7.800000191,2020-12-07 01:50:17 UTC
218,2,27,88,89,227.2727273,613.6363636,0.808988764,148,0.25,2020-12-07 02:08:12 UTC
218,3,29,80,85,250,725,0.847058824,150.3999939,2.789999962,2020-12-07 03:25:37 UTC
218,4,28,81,97,246.9135802,691.3580247,0.742268041,165.1999969,22.42000008,2020-12-07 03:31:00 UTC
218,5,28,82,182,243.902439,682.9268293,0.395604396,148.6000061,4.389999866,2020-12-07 06:05:02 UTC
219,1,9,63,54,317.4603175,285.7142857,1.333333333,361,1.24000001,2020-12-07 01:40:17 UTC
219,2,9,58,65,344.8275862,310.3448276,1.107692308,366,2.75999999,2020-12-07 01:55:08 UTC
219,3,8,56,65,357.1428571,285.7142857,1.107692308,372,1.529999971,2020-12-07 03:39:21 UTC
219,4,9,62,64,322.5806452,290.3225806,1.125,363,6.480000019,2020-12-07 03:46:46 UTC
219,5,9,60,66,333.3333333,300,1.090909091,358,3.809999943,2020-12-07 06:27:11 UTC
220,1,0,124,98,161.2903226,0,0.734693878,354,0.300000012,2020-12-08 03:16:00 UTC
220,2,0,146,135,136.9863014,0,0.533333333,354,1.399999976,2020-12-08 03:27:22 UTC
220,3,1,124,95,161.2903226,16.12903226,0.757894737,355,0.159999996,2020-12-08 03:52:50 UTC
220,4,0,130,114,153.8461538,0,0.631578947,354,0.25,2020-12-08 04:19:49 UTC
220,5,0,131,147,152.6717557,0,0.489795918,351,0.209999993,2020-12-08 06:37:55 UTC
221,1,0,87,116,229.8850575,0,0.620689655,1054,3.950000048,2020-12-08 00:44:26 UTC
221,2,0,85,98,235.2941176,0,0.734693878,929,3.069999933,2020-12-08 02:39:35 UTC
221,3,1,150,140,133.3333333,13.33333333,0.514285714,937,1.75,2020-12-08 03:18:50 UTC
221,4,0,80,92,250,0,0.782608696,1046,2.940000057,2020-12-08 03:26:55 UTC
221,5,0,95,82,210.5263158,0,0.87804878,969,0.920000017,2020-12-08 06:03:16 UTC
222,1,0,55,71,363.6363636,0,1.014084507,512,2.25,2020-12-07 23:40:48 UTC
222,2,0,59,60,338.9830508,0,1.2,515,1.899999976,2020-12-08 00:02:52 UTC
222,3,0,64,75,312.5,0,0.96,528,1.620000005,2020-12-08 02:55:27 UTC
222,4,0,58,73,344.8275862,0,0.98630137,528,3.00999999,2020-12-08 03:30:12 UTC
222,5,0,57,75,350.877193,0,0.96,524,2.00999999,2020-12-08 05:58:52 UTC
